temperature,humidity,gasPercentage,averageCO,averageMethane,label
28.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
28.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
28.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
28.0,72.0,0.05592142728955934,0.010486280047267498,0.00008966498,normal
28.0,72.0,0.015028040581523995,0.003062397435194257,0.0000368019,normal
28.0,72.0,0.015505878861628901,0.003131323508789959,0.0000368019,normal
28.0,72.0,0.015505878861628901,0.003131323508789959,0.0000368019,normal
28.0,72.0,0.015505878861628901,0.003493530266022556,0.00004443391,normal
28.0,72.0,0.01984153082885561,0.0041461080675157126,0.00005025884,normal
29.0,72.0,0.01984153082885561,0.004920975970668217,0.0000511125,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.011331655324842668,0.00014803333920491995,normal
29.0,72.0,0.025225756609398558,0.005459438377906878,0.00006808781,normal
29.0,72.0,0.025225756609398558,0.005459438377906878,0.00006808781,normal
29.0,72.0,0.025225756609398558,0.005459438377906878,0.00006808781,normal
29.0,72.0,0.025225756609398558,0.005459438377906878,0.00006808781,normal
29.0,72.0,0.025225756609398558,0.005459438377906878,0.00006808781,normal
29.0,72.0,0.025225756609398558,0.005459438377906878,0.00006808781,normal
29.0,72.0,0.025225756609398558,0.005459438377906878,0.00006808781,normal
29.0,72.0,0.02930292941749849,0.008592384185798232,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,72.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,71.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,71.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,71.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,71.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,71.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,71.0,0.05592142728955934,0.011456750828251231,0.000124799655315144,normal
29.0,71.0,0.026760738178916773,0.005843456075096806,0.0000733705,normal
29.0,71.0,0.026760738178916773,0.005843456075096806,0.0000733705,normal
29.0,71.0,0.026760738178916773,0.005843456075096806,0.0000733705,normal
29.0,71.0,0.026760738178916773,0.005843456075096806,0.0000733705,normal
29.0,71.0,0.026760738178916773,0.0065473278331023834,0.00007428484,normal
29.0,71.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,71.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
29.0,71.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
30.0,71.0,0.05592142728955934,0.013767248273482555,0.00018656185930989146,normal
